addressId,houseNo,street,areaId,pincode
AD00001,51-18,Street_54,A001,520002
AD00002,115-19,Street_36,A002,520001
AD00003,195-6,Street_55,A003,522001
AD00004,72-5,Street_28,A004,522001
AD00005,27-3,Street_49,A005,520001
AD00006,92-12,Street_78,A006,522001
AD00007,12-15,Street_69,A007,520001
AD00008,97-3,Street_71,A008,522001
AD00009,161-20,Street_47,A009,520002
AD00010,181-3,Street_6,A010,520002
AD00011,198-10,Street_11,A011,520002
AD00012,26-13,Street_36,A012,522002
AD00013,163-12,Street_21,A013,522001
AD00014,91-7,Street_35,A014,520001
AD00015,156-6,Street_69,A015,520002
AD00016,42-15,Street_49,A016,522001
AD00017,164-18,Street_29,A017,522001
AD00018,197-2,Street_30,A018,520001
AD00019,81-13,Street_35,A019,520001
AD00020,55-19,Street_41,A020,520002
AD00021,168-16,Street_51,A021,522002
AD00022,37-9,Street_18,A022,520002
AD00023,191-18,Street_69,A023,522001
AD00024,192-19,Street_55,A024,522002
AD00025,93-8,Street_18,A025,522002
AD00026,24-2,Street_15,A026,520002
AD00027,161-6,Street_55,A027,520001
AD00028,99-13,Street_77,A028,522002
AD00029,136-9,Street_71,A029,520001
AD00030,175-4,Street_69,A030,522001
AD00031,197-11,Street_15,A031,522001
AD00032,112-6,Street_59,A032,520001
AD00033,185-9,Street_65,A033,520002
AD00034,130-4,Street_39,A034,520002
AD00035,40-12,Street_21,A035,520001
AD00036,154-11,Street_63,A036,520001
AD00037,29-12,Street_40,A037,520002
AD00038,15-8,Street_73,A038,520001
AD00039,22-16,Street_9,A039,520002
AD00040,33-16,Street_71,A040,520002
AD00041,68-17,Street_78,A041,522002
AD00042,55-18,Street_26,A042,522001
AD00043,103-12,Street_57,A043,522002
AD00044,31-8,Street_29,A044,520001
AD00045,87-1,Street_76,A045,520002
AD00046,151-8,Street_1,A046,520001
AD00047,182-2,Street_30,A047,520001
AD00048,9-11,Street_10,A048,520002
AD00049,72-16,Street_28,A049,520002
AD00050,186-19,Street_74,A050,522002
AD00051,63-16,Street_53,A051,520002
AD00052,25-4,Street_56,A052,522001
