areaId,name,settlementId
A001,Ward_1,ST001
A002,Ward_2,ST002
A003,Ward_3,ST003
A004,Ward_4,ST004
A005,Ward_5,ST005
A006,Ward_6,ST006
A007,Ward_7,ST007
A008,Ward_8,ST008
A009,Ward_9,ST009
A010,Ward_10,ST010
A011,Ward_11,ST011
A012,Ward_12,ST012
A013,Ward_13,ST013
A014,Ward_14,ST014
A015,Ward_15,ST015
A016,Ward_16,ST016
A017,Ward_17,ST017
A018,Ward_18,ST018
A019,Ward_19,ST019
A020,Ward_20,ST020
A021,Ward_21,ST021
A022,Ward_22,ST022
A023,Ward_23,ST023
A024,Ward_24,ST024
A025,Ward_25,ST025
A026,Ward_26,ST001
A027,Ward_27,ST002
A028,Ward_28,ST003
A029,Ward_29,ST004
A030,Ward_30,ST005
A031,Ward_31,ST006
A032,Ward_32,ST007
A033,Ward_33,ST008
A034,Ward_34,ST009
A035,Ward_35,ST010
A036,Ward_36,ST011
A037,Ward_37,ST012
A038,Ward_38,ST013
A039,Ward_39,ST014
A040,Ward_40,ST015
A041,Ward_41,ST016
A042,Ward_42,ST017
A043,Ward_43,ST018
A044,Ward_44,ST019
A045,Ward_45,ST020
A046,Ward_46,ST021
A047,Ward_47,ST022
A048,Ward_48,ST023
A049,Ward_49,ST024
A050,Ward_50,ST025
A051,Ward_51,ST001
A052,Ward_52,ST002
A053,Ward_53,ST003
A054,Ward_54,ST004
A055,Ward_55,ST005
A056,Ward_56,ST006
A057,Ward_57,ST007
A058,Ward_58,ST008
A059,Ward_59,ST009
A060,Ward_60,ST010
A061,Ward_61,ST011
A062,Ward_62,ST012
A063,Ward_63,ST013
A064,Ward_64,ST014
A065,Ward_65,ST015
A066,Ward_66,ST016
A067,Ward_67,ST017
A068,Ward_68,ST018
A069,Ward_69,ST019
A070,Ward_70,ST020
A071,Ward_71,ST021
A072,Ward_72,ST022
A073,Ward_73,ST023
A074,Ward_74,ST024
A075,Ward_75,ST025
A076,Ward_76,ST001
A077,Ward_77,ST002
A078,Ward_78,ST003
A079,Ward_79,ST004
A080,Ward_80,ST005
A081,Ward_81,ST006
A082,Ward_82,ST007
A083,Ward_83,ST008
A084,Ward_84,ST009
A085,Ward_85,ST010
A086,Ward_86,ST011
A087,Ward_87,ST012
A088,Ward_88,ST013
A089,Ward_89,ST014
A090,Ward_90,ST015
A091,Ward_91,ST016
A092,Ward_92,ST017
A093,Ward_93,ST018
A094,Ward_94,ST019
A095,Ward_95,ST020
A096,Ward_96,ST021
A097,Ward_97,ST022
A098,Ward_98,ST023
A099,Ward_99,ST024
A100,Ward_100,ST025
