citizenId,householdId
C00001,HH0001
C00002,HH0002
C00003,HH0003
C00004,HH0004
C00005,HH0005
C00006,HH0006
C00007,HH0007
C00008,HH0008
C00009,HH0009
C00010,HH0010
C00011,HH0011
C00012,HH0012
C00013,HH0013
C00014,HH0014
C00015,HH0015
C00016,HH0016
C00017,HH0017
C00018,HH0018
C00019,HH0019
C00020,HH0020
C00021,HH0021
C00022,HH0022
C00023,HH0023
C00024,HH0024
C00025,HH0025
C00026,HH0026
C00027,HH0027
C00028,HH0028
C00029,HH0029
C00030,HH0030
C00031,HH0031
C00032,HH0032
C00033,HH0033
C00034,HH0034
C00035,HH0035
C00036,HH0036
C00037,HH0037
C00038,HH0038
C00039,HH0039
C00040,HH0040
C00041,HH0041
C00042,HH0042
C00043,HH0043
C00044,HH0044
C00045,HH0045
C00046,HH0046
C00047,HH0047
C00048,HH0048
C00049,HH0049
C00050,HH0050
C00051,HH0051
C00052,HH0052
C00053,HH0053
C00054,HH0054
C00055,HH0055
C00056,HH0056
C00057,HH0057
C00058,HH0058
C00059,HH0059
C00060,HH0060
C00061,HH0061
C00062,HH0062
C00063,HH0063
C00064,HH0064
C00065,HH0065
C00066,HH0066
C00067,HH0067
C00068,HH0068
C00069,HH0069
C00070,HH0070
C00071,HH0071
C00072,HH0072
C00073,HH0073
C00074,HH0074
C00075,HH0075
C00076,HH0076
C00077,HH0077
C00078,HH0078
C00079,HH0079
C00080,HH0080
C00081,HH0081
C00082,HH0082
C00083,HH0083
C00084,HH0084
C00085,HH0085
C00086,HH0086
C00087,HH0087
C00088,HH0088
C00089,HH0089
C00090,HH0090
C00091,HH0091
C00092,HH0092
C00093,HH0093
C00094,HH0094
C00095,HH0095
C00096,HH0096
C00097,HH0097
C00098,HH0098
C00099,HH0099
C00100,HH0100
C00101,HH0101
C00102,HH0102
C00103,HH0103
C00104,HH0104
C00105,HH0105
C00106,HH0106
C00107,HH0107
C00108,HH0108
C00109,HH0109
C00110,HH0110
C00111,HH0111
C00112,HH0112
C00113,HH0113
C00114,HH0114
C00115,HH0115
C00116,HH0116
C00117,HH0117
C00118,HH0118
C00119,HH0119
C00120,HH0120
C00121,HH0121
C00122,HH0122
C00123,HH0123
C00124,HH0124
C00125,HH0125
C00126,HH0126
C00127,HH0127
C00128,HH0128
C00129,HH0129
C00130,HH0130
C00131,HH0131
C00132,HH0132
C00133,HH0133
C00134,HH0134
C00135,HH0135
C00136,HH0136
C00137,HH0137
C00138,HH0138
C00139,HH0139
C00140,HH0140
C00141,HH0141
C00142,HH0142
C00143,HH0143
C00144,HH0144
C00145,HH0145
C00146,HH0146
C00147,HH0147
C00148,HH0148
C00149,HH0149
C00150,HH0150
C00151,HH0151
C00152,HH0152
C00153,HH0153
C00154,HH0154
C00155,HH0155
C00156,HH0156
C00157,HH0157
C00158,HH0158
C00159,HH0159
C00160,HH0160
C00161,HH0161
C00162,HH0162
C00163,HH0163
C00164,HH0164
C00165,HH0165
C00166,HH0166
C00167,HH0167
C00168,HH0168
C00169,HH0169
C00170,HH0170
C00171,HH0171
C00172,HH0172
C00173,HH0173
C00174,HH0174
C00175,HH0175
C00176,HH0176
C00177,HH0177
C00178,HH0178
