citizenId,scheme
C02700,Free Gas Cylinders
C01940,Dokka Seethamma
C00860,Free Gas Cylinders
C00694,Dokka Seethamma
C01285,Thalli Bidda
C01191,Free Bus Travel for Women
C04221,Deepam 2.0
C03577,Unemployment Allowance
C01078,Free Gas Cylinders
C00807,Dokka Seethamma
C02813,Deepam 2.0
C02969,Free Gas Cylinders
C03826,Dr NTR Vaidya Seva
C04325,Dokka Seethamma
C00650,Free Gas Cylinders
C02773,Talliki Vandanam
C01997,Talliki Vandanam
C04205,Annadata Sukhibhava
C04712,Dr NTR Vaidya Seva
C02690,Unemployment Allowance
C02145,Dokka Seethamma
C03715,Dr NTR Vaidya Seva
C00847,Free Gas Cylinders
C00123,Unemployment Allowance
C04199,Dokka Seethamma
C02308,Annadata Sukhibhava
C02666,Talliki Vandanam
C04182,Deepam 2.0
C02092,Unemployment Allowance
C03336,Unemployment Allowance
C00337,Free Bus Travel for Women
C02724,Talliki Vandanam
C03635,Dr NTR Vaidya Seva
C04880,Free Gas Cylinders
C02840,Free Gas Cylinders
C04927,Free Bus Travel for Women
C03017,Free Gas Cylinders
C04165,Dokka Seethamma
C00638,Talliki Vandanam
C04160,Deepam 2.0
C01250,Thalli Bidda
C03594,Free Gas Cylinders
C02458,Thalli Bidda
C03703,Thalli Bidda
C04040,Unemployment Allowance
C03049,Deepam 2.0
C03031,Unemployment Allowance
C00963,Deepam 2.0
C01777,Dokka Seethamma
C03665,Deepam 2.0
C02364,Free Bus Travel for Women
C03953,Thalli Bidda
C00316,Talliki Vandanam
C04043,Talliki Vandanam
C02335,Free Gas Cylinders
C02984,Unemployment Allowance
C04485,Unemployment Allowance
C04663,Dr NTR Vaidya Seva
C03784,Unemployment Allowance
C00865,Dr NTR Vaidya Seva
C03493,Deepam 2.0
C01618,Free Gas Cylinders
C03456,Thalli Bidda
C00962,Deepam 2.0
C02703,Free Gas Cylinders
C04802,Free Bus Travel for Women
C02815,Talliki Vandanam
C01383,Thalli Bidda
C03531,Thalli Bidda
C02159,Talliki Vandanam
C03077,Unemployment Allowance
C01016,Deepam 2.0
C01254,Thalli Bidda
C01209,Thalli Bidda
C03255,Free Gas Cylinders
C01617,Annadata Sukhibhava
C02319,Free Gas Cylinders
C00928,Free Bus Travel for Women
C02264,Annadata Sukhibhava
C04067,Talliki Vandanam
C00458,Free Gas Cylinders
C02318,Free Gas Cylinders
C02756,Dokka Seethamma
C01972,Unemployment Allowance
C02894,Free Gas Cylinders
C02755,Free Gas Cylinders
C03565,Deepam 2.0
C01008,Dr NTR Vaidya Seva
C04574,Free Bus Travel for Women
C01668,Free Gas Cylinders
C03963,Dr NTR Vaidya Seva
C03398,Dokka Seethamma
C00443,Dokka Seethamma
C02918,Talliki Vandanam
C02471,Annadata Sukhibhava
C00246,Dokka Seethamma
C03420,Talliki Vandanam
C02407,Free Bus Travel for Women
C00651,Thalli Bidda
C00728,Free Gas Cylinders
C02701,Thalli Bidda
C04581,Free Gas Cylinders
C01300,Annadata Sukhibhava
C04744,Thalli Bidda
C04777,Free Bus Travel for Women
C01828,Dr NTR Vaidya Seva
C04555,Dr NTR Vaidya Seva
C00379,Free Bus Travel for Women
C00562,Dr NTR Vaidya Seva
C00296,Dokka Seethamma
C04717,Dokka Seethamma
C04147,Dokka Seethamma
C02870,Talliki Vandanam
C00721,Talliki Vandanam
C03020,Free Gas Cylinders
C04521,Free Bus Travel for Women
C04893,Annadata Sukhibhava
C00761,Annadata Sukhibhava
C03027,Free Bus Travel for Women
C01419,Talliki Vandanam
C01326,Dr NTR Vaidya Seva
C02336,Talliki Vandanam
C00271,Free Bus Travel for Women
C01945,Free Bus Travel for Women
C04675,Dr NTR Vaidya Seva
C01991,Thalli Bidda
C04813,Talliki Vandanam
C01516,Talliki Vandanam
C01935,Dokka Seethamma
C04592,Thalli Bidda
C04250,Deepam 2.0
C00515,Dokka Seethamma
C04361,Free Bus Travel for Women
C04328,Unemployment Allowance
C02322,Thalli Bidda
C04258,Annadata Sukhibhava
C03377,Thalli Bidda
C03542,Dr NTR Vaidya Seva
C02036,Unemployment Allowance
C01107,Talliki Vandanam
C04454,Free Bus Travel for Women
C02450,Dokka Seethamma
C00760,Deepam 2.0
C02409,Deepam 2.0
C03316,Dr NTR Vaidya Seva
C02393,Thalli Bidda
C02279,Deepam 2.0
C03384,Unemployment Allowance
C02252,Talliki Vandanam
C02111,Thalli Bidda
C04578,Free Bus Travel for Women
C01364,Thalli Bidda
C04910,Dr NTR Vaidya Seva
C03330,Free Bus Travel for Women
C03624,Free Gas Cylinders
C04246,Annadata Sukhibhava
C04503,Thalli Bidda
C03635,Unemployment Allowance
C02234,Deepam 2.0
C02549,Dr NTR Vaidya Seva
C04313,Thalli Bidda
C00724,Unemployment Allowance
C02108,Dr NTR Vaidya Seva
C04996,Free Bus Travel for Women
C04662,Free Gas Cylinders
C02043,Annadata Sukhibhava
C02680,Free Gas Cylinders
C03582,Dr NTR Vaidya Seva
C02548,Deepam 2.0
C01606,Unemployment Allowance
C00084,Deepam 2.0
C03104,Talliki Vandanam
C04551,Dr NTR Vaidya Seva
C02198,Dr NTR Vaidya Seva
C03199,Dr NTR Vaidya Seva
C04255,Annadata Sukhibhava
C00998,Dokka Seethamma
C01492,Deepam 2.0
C04724,Deepam 2.0
C01991,Deepam 2.0
C02182,Dr NTR Vaidya Seva
C04590,Thalli Bidda
C01126,Deepam 2.0
C00430,Free Bus Travel for Women
C03832,Free Bus Travel for Women
C01888,Thalli Bidda
C04572,Unemployment Allowance
C00437,Dr NTR Vaidya Seva
C00527,Free Bus Travel for Women
C04217,Dr NTR Vaidya Seva
C04030,Unemployment Allowance
C04267,Free Gas Cylinders
C04062,Dokka Seethamma
C02004,Talliki Vandanam
C02175,Free Gas Cylinders
C02686,Dr NTR Vaidya Seva
C02667,Thalli Bidda
C03272,Free Gas Cylinders
C03772,Dokka Seethamma
C03157,Dokka Seethamma
C00018,Talliki Vandanam
C02889,Free Gas Cylinders
C00550,Deepam 2.0
C03241,Thalli Bidda
C03477,Unemployment Allowance
C02093,Unemployment Allowance
C01760,Dr NTR Vaidya Seva
C01837,Deepam 2.0
C03825,Talliki Vandanam
C03012,Dr NTR Vaidya Seva
C00880,Unemployment Allowance
C03559,Free Gas Cylinders
C01581,Unemployment Allowance
C02075,Deepam 2.0
C00347,Talliki Vandanam
C02391,Deepam 2.0
C00720,Dokka Seethamma
C03534,Thalli Bidda
C02049,Thalli Bidda
C00818,Free Gas Cylinders
C01125,Talliki Vandanam
C02045,Free Gas Cylinders
C00679,Annadata Sukhibhava
C04683,Dokka Seethamma
C02848,Talliki Vandanam
C02788,Dr NTR Vaidya Seva
C03065,Annadata Sukhibhava
C01929,Free Bus Travel for Women
C02594,Dokka Seethamma
C02618,Talliki Vandanam
C04452,Annadata Sukhibhava
C02156,Free Bus Travel for Women
C01521,Deepam 2.0
C04610,Dokka Seethamma
C03898,Dr NTR Vaidya Seva
C03365,Free Bus Travel for Women
C01526,Thalli Bidda
C04842,Talliki Vandanam
C02287,Deepam 2.0
C01698,Free Bus Travel for Women
C04489,Annadata Sukhibhava
C00013,Dr NTR Vaidya Seva
C00333,Dokka Seethamma
C00635,Thalli Bidda
C00355,Talliki Vandanam
C02979,Deepam 2.0
C01040,Annadata Sukhibhava
C04332,Unemployment Allowance
C02864,Thalli Bidda
C02421,Dr NTR Vaidya Seva
C02965,Talliki Vandanam
C02735,Deepam 2.0
C03876,Talliki Vandanam
C01477,Free Gas Cylinders
C03517,Annadata Sukhibhava
C00927,Unemployment Allowance
C01766,Free Gas Cylinders
C04128,Free Bus Travel for Women
C00367,Unemployment Allowance
C00052,Thalli Bidda
C03926,Free Gas Cylinders
C01012,Free Bus Travel for Women
C00329,Dr NTR Vaidya Seva
C00630,Talliki Vandanam
C04878,Deepam 2.0
C01147,Annadata Sukhibhava
C03289,Dokka Seethamma
C04815,Thalli Bidda
C02356,Free Gas Cylinders
C01648,Thalli Bidda
C00904,Unemployment Allowance
C03662,Free Bus Travel for Women
C01270,Talliki Vandanam
C02322,Free Bus Travel for Women
C00678,Deepam 2.0
C03633,Unemployment Allowance
C02040,Annadata Sukhibhava
C01472,Dr NTR Vaidya Seva
C03482,Dr NTR Vaidya Seva
C02879,Dr NTR Vaidya Seva
C00355,Deepam 2.0
C01816,Free Bus Travel for Women
C03291,Annadata Sukhibhava
C03391,Free Gas Cylinders
C02784,Dokka Seethamma
C00182,Dr NTR Vaidya Seva
C01193,Unemployment Allowance
C03717,Free Gas Cylinders
C02718,Free Gas Cylinders
C01228,Dr NTR Vaidya Seva
C03743,Deepam 2.0
C00444,Free Bus Travel for Women
C03320,Thalli Bidda
C00471,Deepam 2.0
C03725,Free Gas Cylinders
C00924,Talliki Vandanam
C00064,Free Gas Cylinders
C03577,Dokka Seethamma
C03994,Talliki Vandanam
C03492,Talliki Vandanam
C02615,Thalli Bidda
C00623,Annadata Sukhibhava
C01457,Annadata Sukhibhava
C04281,Annadata Sukhibhava
C03139,Thalli Bidda
C04906,Free Bus Travel for Women
C01477,Free Bus Travel for Women
C02990,Free Bus Travel for Women
C04706,Free Bus Travel for Women
C01896,Talliki Vandanam
C03036,Unemployment Allowance
C04340,Unemployment Allowance
C04774,Free Gas Cylinders
C00671,Dr NTR Vaidya Seva
C02711,Thalli Bidda
C00460,Thalli Bidda
C04766,Unemployment Allowance
C01543,Deepam 2.0
C00887,Dokka Seethamma
C01862,Talliki Vandanam
C01212,Unemployment Allowance
C01448,Dr NTR Vaidya Seva
C02172,Dr NTR Vaidya Seva
C04329,Free Gas Cylinders
C02711,Annadata Sukhibhava
C04699,Talliki Vandanam
C01169,Talliki Vandanam
C02496,Annadata Sukhibhava
C00531,Free Gas Cylinders
C02497,Dokka Seethamma
C04133,Talliki Vandanam
C02590,Annadata Sukhibhava
C00409,Free Bus Travel for Women
C01560,Unemployment Allowance
C03206,Free Gas Cylinders
C02031,Free Bus Travel for Women
C03414,Free Bus Travel for Women
C01951,Talliki Vandanam
C02587,Thalli Bidda
C03018,Unemployment Allowance
C01586,Thalli Bidda
C00434,Talliki Vandanam
C04733,Dokka Seethamma
C02309,Annadata Sukhibhava
C03323,Unemployment Allowance
C01912,Thalli Bidda
C03678,Talliki Vandanam
C01202,Annadata Sukhibhava
C03789,Talliki Vandanam
C02209,Thalli Bidda
C00504,Annadata Sukhibhava
C01507,Free Gas Cylinders
C01390,Dokka Seethamma
C01835,Free Bus Travel for Women
C04632,Thalli Bidda
C00759,Thalli Bidda
C04417,Free Gas Cylinders
C03119,Dokka Seethamma
C00889,Thalli Bidda
C03102,Thalli Bidda
C03072,Talliki Vandanam
C02905,Annadata Sukhibhava
C04044,Free Bus Travel for Women
C04611,Free Bus Travel for Women
C00251,Annadata Sukhibhava
C00469,Free Gas Cylinders
C02975,Annadata Sukhibhava
C03101,Dokka Seethamma
C01550,Free Bus Travel for Women
C00604,Thalli Bidda
C04824,Free Bus Travel for Women
C03079,Unemployment Allowance
C04093,Talliki Vandanam
C04253,Unemployment Allowance
C02458,Talliki Vandanam
C03160,Free Gas Cylinders
C02425,Free Gas Cylinders
C01223,Free Gas Cylinders
C04678,Free Bus Travel for Women
C03020,Thalli Bidda
C00176,Thalli Bidda
C03131,Free Gas Cylinders
C00055,Unemployment Allowance
C03211,Deepam 2.0
C00102,Thalli Bidda
C04408,Free Gas Cylinders
C03485,Deepam 2.0
C01494,Thalli Bidda
C00907,Deepam 2.0
C03365,Talliki Vandanam
C01055,Dr NTR Vaidya Seva
C00532,Annadata Sukhibhava
C04597,Dr NTR Vaidya Seva
C04199,Talliki Vandanam
C00963,Talliki Vandanam
C04968,Free Bus Travel for Women
C03572,Talliki Vandanam
C04814,Annadata Sukhibhava
C04830,Unemployment Allowance
C04684,Talliki Vandanam
C04553,Annadata Sukhibhava
C03829,Talliki Vandanam
C00402,Free Bus Travel for Women
C01114,Thalli Bidda
C03328,Deepam 2.0
C04321,Talliki Vandanam
C02824,Dokka Seethamma
C03784,Thalli Bidda
C04022,Thalli Bidda
C00408,Annadata Sukhibhava
C02274,Thalli Bidda
C01099,Dr NTR Vaidya Seva
C04150,Deepam 2.0
C00824,Annadata Sukhibhava
C04614,Free Gas Cylinders
C03497,Dr NTR Vaidya Seva
C02507,Dr NTR Vaidya Seva
C00231,Thalli Bidda
C03684,Free Bus Travel for Women
C02605,Free Gas Cylinders
C03198,Annadata Sukhibhava
C04857,Deepam 2.0
C01224,Talliki Vandanam
C02901,Annadata Sukhibhava
C01677,Free Gas Cylinders
C03288,Free Bus Travel for Women
C04661,Thalli Bidda
C02313,Dokka Seethamma
C04996,Deepam 2.0
C02882,Talliki Vandanam
C00400,Thalli Bidda
C02924,Annadata Sukhibhava
C03477,Thalli Bidda
C02177,Dokka Seethamma
C03409,Thalli Bidda
C01550,Free Gas Cylinders
C04435,Annadata Sukhibhava
C04514,Deepam 2.0
C00926,Thalli Bidda
