householdId,utilityId
H1,U4
H1,U5
H1,U1
H1,U2
H2,U4
H2,U3
H2,U5
H2,U1
H3,U3
H4,U3
H4,U4
H5,U2
H5,U3
H5,U5
H5,U1
H6,U3
H6,U1
H7,U1
H7,U2
H8,U3
H9,U3
H9,U2
H9,U4
H10,U3
H11,U5
H11,U4
H11,U3
H12,U1
H12,U4
H12,U5
H13,U2
H13,U3
H13,U1
H13,U4
H14,U2
H15,U5
H16,U5
H17,U1
H17,U4
H17,U3
H18,U1
H18,U4
H19,U3
H19,U4
H19,U5
H20,U4
H20,U5
H20,U3
H21,U5
H21,U3
H21,U1
H22,U2
H22,U3
H23,U1
H23,U4
H23,U5
H24,U1
H24,U3
H25,U3
H25,U5
H26,U4
H26,U3
H27,U5
H28,U5
H28,U3
H28,U2
H28,U4
H29,U2
H29,U3
H29,U4
H30,U5
H30,U1
H30,U4
H31,U2
H31,U5
H31,U3
H32,U2
H33,U1
H33,U2
H33,U4
H34,U4
H34,U5
H35,U5
H36,U1
H36,U4
H36,U2
H37,U5
H38,U1
H38,U3
H38,U5
H39,U3
H40,U5
H40,U2
H40,U3
H40,U1
H41,U2
H41,U5
H42,U3
H42,U5
H42,U2
H42,U1
H43,U3
H44,U3
H44,U5
H45,U3
H45,U5
H45,U4
H46,U4
H46,U1
H46,U3
H46,U2
H47,U2
H47,U4
H47,U5
H47,U3
H48,U1
H48,U3
H48,U2
H49,U5
H49,U4
H49,U1
H49,U2
H50,U3
H50,U5
H51,U1
H51,U5
H51,U3
H51,U4
H52,U2
H53,U4
H53,U5
H53,U1
H53,U3
H54,U1
H54,U5
H54,U3
H55,U2
H55,U3
H56,U3
H56,U5
H56,U4
H57,U1
H57,U3
H58,U4
H58,U5
H59,U5
H60,U3
H60,U5
H60,U1
H60,U4
H61,U1
H61,U2
H61,U3
H62,U3
H62,U4
H63,U4
H64,U3
H65,U4
H66,U5
H67,U2
H68,U1
H69,U3
H69,U5
H69,U4
H69,U1
H70,U1
H70,U3
H70,U5
H70,U4
H71,U4
H72,U3
H72,U5
H72,U2
H72,U4
H73,U3
H74,U2
H75,U2
H75,U1
H75,U5
H76,U3
H76,U5
H76,U2
H77,U5
H77,U2
H77,U3
H77,U4
H78,U5
H79,U3
H80,U1
H80,U2
H80,U4
H81,U3
H81,U4
H81,U5
H81,U2
H82,U1
H82,U2
H83,U1
H83,U3
H83,U5
H84,U4
H84,U5
H84,U3
H84,U1
H85,U3
H85,U1
H85,U2
H86,U5
H86,U1
H86,U4
H87,U2
H87,U3
H87,U4
H88,U1
H89,U4
H89,U1
H89,U2
H89,U3
H90,U3
H90,U5
H91,U4
H91,U5
H91,U3
H91,U2
H92,U5
H93,U5
H93,U2
H93,U3
H94,U3
H94,U2
H94,U4
H94,U1
H95,U4
H95,U1
H96,U5
H96,U2
H96,U1
H96,U4
H97,U1
H97,U4
H98,U3
H98,U2
H99,U3
H100,U5
H101,U1
H101,U3
H101,U4
H101,U2
H102,U5
H102,U2
H102,U3
H102,U1
H103,U3
H103,U5
H103,U2
H103,U1
H104,U3
H104,U2
H104,U4
H105,U1
H105,U5
H106,U3
H106,U1
H106,U2
H106,U5
H107,U3
H107,U2
H108,U4
H109,U1
H109,U2
H109,U4
H109,U3
H110,U1
H110,U4
H110,U2
H111,U1
H111,U5
H112,U1
H113,U4
H113,U5
H113,U1
H113,U2
H114,U2
H115,U3
H115,U1
H115,U2
H116,U2
H117,U5
H117,U3
H117,U4
H117,U1
H118,U5
H118,U2
H118,U1
H118,U3
H119,U1
H119,U5
H119,U2
H119,U3
H120,U4
H120,U1
H120,U2
H121,U3
H121,U5
H122,U1
H122,U4
H122,U3
H123,U2
H124,U1
H124,U4
H124,U3
H124,U5
H125,U5
H125,U2
H125,U4
H126,U1
H126,U2
H126,U5
H126,U3
H127,U1
H127,U2
H127,U5
H128,U5
H129,U5
H130,U1
H130,U4
H131,U3
H131,U4
H131,U1
H131,U5
H132,U3
H132,U5
H132,U1
