householdId,utilityId
HH0001,U1
HH0001,U2
HH0001,U4
HH0002,U5
HH0003,U2
HH0003,U4
HH0004,U5
HH0004,U1
HH0004,U2
HH0005,U2
HH0005,U5
HH0005,U4
HH0006,U3
HH0006,U5
HH0006,U1
HH0006,U4
HH0007,U3
HH0007,U5
HH0007,U1
HH0007,U4
HH0008,U5
HH0008,U2
HH0008,U1
HH0008,U4
HH0009,U1
HH0009,U2
HH0009,U4
HH0009,U5
HH0010,U1
HH0010,U5
HH0011,U2
HH0011,U1
HH0011,U4
HH0011,U5
HH0012,U1
HH0012,U5
HH0013,U4
HH0013,U1
HH0014,U4
HH0014,U2
HH0015,U5
HH0015,U3
HH0015,U2
HH0016,U2
HH0016,U5
HH0016,U4
HH0016,U1
HH0017,U4
HH0017,U5
HH0018,U2
HH0018,U4
HH0018,U5
HH0018,U3
HH0019,U5
HH0019,U4
HH0019,U3
HH0020,U5
HH0021,U1
HH0021,U3
HH0021,U4
HH0021,U2
HH0022,U5
HH0022,U4
HH0022,U2
HH0022,U3
HH0023,U3
HH0023,U5
HH0023,U2
HH0024,U5
HH0024,U1
HH0024,U3
HH0025,U1
HH0026,U3
HH0027,U2
HH0027,U4
HH0028,U4
HH0028,U3
HH0028,U2
HH0028,U5
HH0029,U5
HH0030,U4
HH0030,U5
HH0030,U3
HH0031,U3
HH0031,U4
HH0031,U5
HH0032,U2
HH0032,U5
HH0032,U1
HH0032,U4
HH0033,U4
HH0033,U2
HH0033,U3
HH0033,U5
HH0034,U1
HH0034,U2
HH0035,U5
HH0036,U1
HH0036,U4
HH0036,U3
HH0036,U5
HH0037,U1
HH0037,U4
HH0037,U5
HH0037,U3
HH0038,U2
HH0038,U5
HH0039,U3
HH0040,U1
HH0040,U4
HH0041,U5
HH0041,U4
HH0041,U2
HH0041,U1
HH0042,U2
HH0043,U3
HH0043,U5
HH0043,U2
HH0043,U4
HH0044,U2
HH0045,U3
HH0045,U4
HH0045,U2
HH0045,U5
HH0046,U3
HH0046,U1
HH0046,U4
HH0047,U2
HH0047,U1
HH0047,U3
HH0048,U5
HH0048,U3
HH0048,U2
HH0048,U4
HH0049,U4
HH0049,U5
HH0049,U2
HH0049,U3
HH0050,U5
HH0051,U4
HH0051,U3
HH0051,U5
HH0052,U3
HH0052,U4
HH0052,U5
HH0053,U2
HH0054,U3
HH0054,U2
HH0055,U4
HH0055,U1
HH0055,U3
HH0055,U2
HH0056,U3
HH0056,U4
HH0056,U2
HH0056,U1
HH0057,U1
HH0057,U2
HH0058,U2
HH0059,U4
HH0059,U2
HH0060,U3
HH0060,U4
HH0061,U2
HH0061,U3
HH0061,U5
HH0061,U4
HH0062,U3
HH0062,U2
HH0062,U4
HH0062,U1
HH0063,U4
HH0063,U3
HH0063,U5
HH0063,U2
HH0064,U3
HH0064,U2
HH0065,U4
HH0065,U2
HH0066,U5
HH0066,U4
HH0066,U1
HH0066,U2
HH0067,U3
HH0068,U1
HH0068,U3
HH0068,U4
HH0069,U3
HH0069,U5
HH0069,U4
HH0070,U3
HH0070,U2
HH0071,U5
HH0072,U3
HH0072,U1
HH0073,U1
HH0073,U5
HH0074,U2
HH0074,U5
HH0074,U1
HH0074,U3
HH0075,U4
HH0075,U2
HH0075,U1
HH0076,U4
HH0076,U1
HH0077,U5
HH0078,U2
HH0078,U3
HH0078,U5
HH0079,U3
HH0079,U2
HH0079,U5
HH0080,U5
HH0080,U3
HH0080,U2
HH0080,U1
HH0081,U2
HH0081,U4
HH0081,U1
HH0082,U4
HH0083,U1
HH0083,U2
HH0083,U3
HH0083,U4
HH0084,U1
HH0084,U5
HH0084,U4
HH0085,U1
HH0085,U4
HH0085,U5
HH0086,U1
HH0086,U4
HH0086,U5
HH0087,U1
HH0087,U3
HH0087,U2
HH0088,U5
HH0089,U4
HH0090,U2
HH0091,U5
HH0091,U1
HH0092,U4
HH0092,U2
HH0092,U5
HH0092,U1
HH0093,U3
HH0094,U1
HH0094,U3
HH0094,U2
HH0094,U5
HH0095,U4
HH0095,U3
HH0095,U1
HH0096,U2
HH0096,U3
HH0097,U4
HH0097,U2
HH0097,U1
HH0097,U5
HH0098,U3
HH0098,U5
HH0098,U4
HH0098,U2
HH0099,U2
HH0099,U3
HH0099,U5
HH0099,U4
HH0100,U1
HH0101,U1
HH0101,U3
HH0101,U4
HH0102,U3
HH0102,U1
HH0102,U2
HH0102,U4
HH0103,U4
HH0103,U2
HH0103,U1
HH0103,U5
HH0104,U3
HH0104,U5
HH0104,U2
HH0104,U1
HH0105,U3
HH0105,U2
HH0105,U1
HH0106,U5
HH0107,U3
HH0108,U2
HH0108,U5
HH0109,U4
HH0109,U1
HH0109,U3
HH0110,U3
HH0110,U4
HH0110,U1
HH0111,U3
HH0111,U4
HH0112,U3
HH0112,U1
HH0112,U5
HH0112,U2
HH0113,U5
HH0114,U4
HH0114,U3
HH0114,U5
HH0114,U1
HH0115,U1
HH0115,U3
HH0116,U5
HH0116,U4
HH0117,U1
HH0117,U2
HH0117,U3
HH0117,U5
HH0118,U4
HH0119,U3
HH0119,U4
HH0120,U5
HH0121,U2
HH0121,U1
HH0121,U4
HH0122,U3
HH0122,U2
HH0122,U5
HH0122,U4
HH0123,U2
HH0123,U3
HH0124,U3
HH0124,U5
HH0125,U5
HH0126,U5
HH0127,U2
HH0127,U3
HH0127,U5
HH0127,U4
HH0128,U1
HH0128,U4
HH0129,U4
HH0130,U5
HH0130,U2
HH0131,U3
HH0131,U5
HH0132,U5
HH0132,U2
HH0132,U1
HH0132,U4
HH0133,U5
HH0133,U1
HH0134,U5
HH0134,U4
HH0134,U2
HH0134,U3
HH0135,U4
HH0136,U4
HH0137,U1
HH0137,U3
HH0137,U5
HH0138,U5
HH0138,U4
HH0138,U2
HH0139,U1
HH0139,U2
HH0140,U5
HH0140,U4
HH0141,U1
HH0141,U2
HH0141,U5
HH0141,U3
HH0142,U5
HH0143,U4
HH0143,U5
HH0144,U5
HH0144,U4
HH0144,U3
HH0145,U3
HH0145,U1
HH0145,U5
HH0145,U4
HH0146,U1
HH0147,U1
HH0147,U4
HH0147,U5
HH0147,U2
HH0148,U1
HH0148,U2
HH0148,U5
HH0149,U5
HH0149,U4
HH0149,U1
HH0149,U3
HH0150,U4
HH0150,U5
HH0151,U2
HH0152,U2
HH0152,U1
HH0152,U4
HH0152,U5
HH0153,U5
HH0153,U2
HH0153,U4
HH0153,U1
HH0154,U5
HH0154,U4
HH0154,U2
HH0154,U1
HH0155,U1
HH0156,U2
HH0156,U3
HH0157,U5
HH0157,U1
HH0158,U3
HH0158,U5
HH0159,U2
HH0160,U3
HH0161,U3
HH0161,U1
HH0162,U3
HH0162,U1
HH0162,U4
HH0163,U5
HH0163,U2
HH0164,U1
HH0164,U5
HH0165,U5
HH0165,U2
HH0165,U3
HH0166,U4
HH0166,U5
HH0166,U2
HH0167,U2
HH0167,U5
HH0167,U1
HH0167,U3
HH0168,U3
HH0168,U4
HH0169,U4
HH0169,U2
HH0170,U1
HH0170,U2
HH0170,U5
HH0171,U4
HH0171,U5
HH0172,U4
HH0172,U3
HH0172,U2
HH0172,U5
HH0173,U3
HH0173,U2
HH0173,U1
HH0173,U5
HH0174,U2
HH0174,U4
HH0174,U3
HH0175,U2
HH0175,U3
HH0176,U5
HH0176,U4
HH0176,U2
HH0177,U5
HH0178,U3
HH0179,U2
HH0179,U3
HH0180,U3
HH0180,U4
HH0181,U5
HH0181,U1
HH0182,U3
