settlementId,name,type,mandalId
ST001,Settlement_1,Village,M001
ST002,Settlement_2,City,M002
ST003,Settlement_3,City,M003
ST004,Settlement_4,Village,M004
ST005,Settlement_5,Town,M005
ST006,Settlement_6,City,M006
ST007,Settlement_7,City,M007
ST008,Settlement_8,City,M008
ST009,Settlement_9,Village,M009
ST010,Settlement_10,City,M010
ST011,Settlement_11,Village,M001
ST012,Settlement_12,Village,M002
ST013,Settlement_13,Village,M003
ST014,Settlement_14,City,M004
ST015,Settlement_15,Village,M005
ST016,Settlement_16,Town,M006
ST017,Settlement_17,City,M007
ST018,Settlement_18,City,M008
ST019,Settlement_19,City,M009
ST020,Settlement_20,City,M010
ST021,Settlement_21,City,M001
ST022,Settlement_22,Village,M002
ST023,Settlement_23,Village,M003
ST024,Settlement_24,City,M004
ST025,Settlement_25,Village,M005
